"","COUNTRY","ABBR.nation","content","identities"
"1","Afghanistan","AFG","The Taliban released two academics, one American and one Australian, whom it had held captive since 2016, in exchange for three militants. Afghanistan・s president, Ashraf Ghani, said the swap of hostages for prisoners was necessary to kick-start peace talks with the jihadists.","""Afghanistan・s"""
"2","Albania","ALB",NA,NA
"3","Algeria","DZA",NA,NA
"4","American Samoa","ASM",NA,NA
"5","Andorra","AND",NA,NA
"6","Angola","AGO",NA,NA
"7","Anguilla","AIA",NA,NA
"8","Antigua and Barbuda","ATG",NA,NA
"9","Argentina","ARG",NA,NA
"10","Armenia","ARM",NA,NA
"11","Aruba","ABW",NA,NA
"12","Australia","AUS",NA,NA
"13","Austria","AUT",NA,NA
"14","Azerbaijan","AZE",NA,NA
"15","Bahamas, The","BHM",NA,NA
"16","Bahrain","BHR",NA,NA
"17","Bangladesh","BGD",NA,NA
"18","Barbados","BRB",NA,NA
"19","Belarus","BLR","Parliamentary elections were held in Belarus, the former Soviet republic whose president, Alexander Lukashenko, has been in uncontested power for the past 25 years. The opposition won no seats at all.","""Belarus"""
"20","Belgium","BEL",NA,NA
"21","Belize","BLZ",NA,NA
"22","Benin","BEN",NA,NA
"23","Bermuda","BMU",NA,NA
"24","Bhutan","BTN",NA,NA
"25","Bolivia","BOL","The death toll in the unrest leading up to and after Evo Morales・s resignation as Bolivia・s president rose to at least 32 people. Security forces fired on pro-Morales demonstrators who had blocked a fuel plant near the capital, La Paz. The protesters want the interim president, Jeanine Anez, to resign. They also want new elections. A decree by the interim government appeared to encourage the police to be overzealous in their efforts to quell protests.","""Bolivia・s"""
"26","Bosnia and Herzegovina","BIH",NA,NA
"27","Botswana","BWA",NA,NA
"28","Brazil","BRA","The pace of deforestation of the Brazilian Amazon in the year to July reached its highest level in a decade, said the country・s space agency. It was nearly 30% faster than in the previous year. Environmentalists blame Brazil・s populist president, Jair Bolsonaro, who wants to open the region to miners and ranchers. See article.","""Brazilian Amazon"""
"29","British Virgin Islands","VGB",NA,NA
"30","Brunei","BRN",NA,NA
"31","Bulgaria","BGR",NA,NA
"32","Burkina Faso","BFA",NA,NA
"33","Burma","MMR",NA,NA
"34","Burundi","BDI",NA,NA
"35","Cabo Verde","CPV",NA,NA
"36","Cambodia","KHM",NA,NA
"37","Cameroon","CMR",NA,NA
"38","Canada","CAN",NA,NA
"39","Cayman Islands","CYM",NA,NA
"40","Central African Republic","CAF",NA,NA
"41","Chad","TCD",NA,NA
"42","Chile","CHL","Following a wave of political protests, Chile・s government agreed to hold a referendum in April on whether the country should write a new constitution. Chileans will be able to decide what sort of body should draft it and will also be able to vote on the final text of a constitution. See article.","""Chile・s"""
"43","China","CHN",NA,NA
"44","Colombia","COL",NA,NA
"45","Comoros","COM",NA,NA
"46","Congo, Democratic Republic of the","COD",NA,NA
"47","Congo, Republic of the","COG",NA,NA
"48","Cook Islands","COK",NA,NA
"49","Costa Rica","CRI",NA,NA
"50","Cote d'Ivoire","CIV",NA,NA
"51","Croatia","HRV",NA,NA
"52","Cuba","CUB",NA,NA
"53","Curacao","CUW",NA,NA
"54","Cyprus","CYP",NA,NA
"55","Czech Republic","CZE",NA,NA
"56","Denmark","DNK",NA,NA
"57","Djibouti","DJI",NA,NA
"58","Dominica","DMA",NA,NA
"59","Dominican Republic","DOM",NA,NA
"60","Ecuador","ECU",NA,NA
"61","Egypt","EGY",NA,NA
"62","El Salvador","SLV",NA,NA
"63","Equatorial Guinea","GNQ",NA,NA
"64","Eritrea","ERI",NA,NA
"65","Estonia","EST",NA,NA
"66","Ethiopia","ETH",NA,NA
"67","Falkland Islands (Islas Malvinas)","FLK",NA,NA
"68","Faroe Islands","FRO",NA,NA
"69","Fiji","FJI",NA,NA
"70","Finland","FIN",NA,NA
"71","France","FRA",NA,NA
"72","French Polynesia","PYF",NA,NA
"73","Gabon","GAB",NA,NA
"74","Gambia, The","GMB",NA,NA
"75","Georgia","GEO",NA,NA
"76","Germany","DEU",NA,NA
"77","Ghana","GHA",NA,NA
"78","Gibraltar","GIB",NA,NA
"79","Greece","GRC",NA,NA
"80","Greenland","GRL",NA,NA
"81","Grenada","GRD",NA,NA
"82","Guam","GUM",NA,NA
"83","Guatemala","GTM",NA,NA
"84","Guernsey","GGY",NA,NA
"85","Guinea-Bissau","GNB",NA,NA
"86","Guinea","GIN",NA,NA
"87","Guyana","GUY",NA,NA
"88","Haiti","HTI",NA,NA
"89","Honduras","HND",NA,NA
"90","Hong Kong","HKG","Police shot rubber bullets at the protesters occupying Hong Kong Polytechnic University. Most of the students eventually left the campus. Meanwhile, a court in Hong Kong overturned a ban on wearing masks in the protests, finding it contravened the territory・s Basic Law. The decision was denounced by China・s National People・s Congress, which suggested that only it had the power to rule on constitutional issues in Hong Kong. See article.","""Hong Kong"""
"91","Hungary","HUN",NA,NA
"92","Iceland","ISL",NA,NA
"93","India","IND",NA,NA
"94","Indonesia","IDN",NA,NA
"95","Iran","IRN","Large protests erupted in Iran after the government increased the price of heavily subsidised fuel. Demonstrators blocked traffic, torched banks and burnt petrol stations. Ayatollah Ali Khamenei, the supreme leader, called the protesters ：thugs； and blamed foreign powers for the unrest. Dozens of people have been killed by the authorities, say human-rights groups. See article.","""Iran"""
"96","Iraq","IRQ",NA,NA
"97","Ireland","IRL",NA,NA
"98","Isle of Man","IMN",NA,NA
"99","Israel","ISR","Mike Pompeo, America・s secretary of state, announced that Israeli settlements in the occupied West Bank are consistent with international law. Most of Israel・s other allies disagree. Past American administrations largely dodged the question. The decision will have no immediate effect on the ground, but it may embolden Israeli politicians who want to annex the settlements. Meanwhile, Benny Gantz missed the deadline to form a government in Israel, raising the possibility of another election, as Binyamin Netanyahu faced mounting legal woes. See article.","""Israeli settlements"""
"100","Italy","ITA",NA,NA
"101","Jamaica","JAM",NA,NA
"102","Japan","JPN",NA,NA
"103","Jersey","JEY",NA,NA
"104","Jordan","JOR",NA,NA
"105","Kazakhstan","KAZ",NA,NA
"106","Kenya","KEN",NA,NA
"107","Kiribati","KIR",NA,NA
"108","Korea, North","PRK",NA,NA
"109","Korea, South","KOR","America walked out of talks in Seoul with South Korea in a dispute about paying for American troops stationed in the country. South Korean politicians say America wants $5bn a year, five times what it is getting now from the South Korean government. See article.","""South Korea"""
"110","Kosovo","KSV",NA,NA
"111","Kuwait","KWT",NA,NA
"112","Kyrgyzstan","KGZ",NA,NA
"113","Laos","LAO",NA,NA
"114","Latvia","LVA",NA,NA
"115","Lebanon","LBN",NA,NA
"116","Lesotho","LSO",NA,NA
"117","Liberia","LBR",NA,NA
"118","Libya","LBY",NA,NA
"119","Liechtenstein","LIE",NA,NA
"120","Lithuania","LTU",NA,NA
"121","Luxembourg","LUX",NA,NA
"122","Macau","MAC",NA,NA
"123","Macedonia","MKD",NA,NA
"124","Madagascar","MDG",NA,NA
"125","Malawi","MWI",NA,NA
"126","Malaysia","MYS",NA,NA
"127","Maldives","MDV",NA,NA
"128","Mali","MLI","Escalating conflicts in Burkina Faso, Mali and Niger have created a humanitarian crisis in which 2.4m people need urgent food aid, said the UN・s World Food Programme. The worst affected is Burkina Faso, where more than half a million people have fled their homes.","""Burkina Faso"",""Mali"",""Niger"""
"129","Malta","MLT",NA,NA
"130","Marshall Islands","MHL",NA,NA
"131","Mauritania","MRT",NA,NA
"132","Mauritius","MUS",NA,NA
"133","Mexico","MEX",NA,NA
"134","Micronesia, Federated States of","FSM",NA,NA
"135","Moldova","MDA",NA,NA
"136","Monaco","MCO",NA,NA
"137","Mongolia","MNG",NA,NA
"138","Montenegro","MNE",NA,NA
"139","Morocco","MAR",NA,NA
"140","Mozambique","MOZ",NA,NA
"141","Namibia","NAM",NA,NA
"142","Nepal","NPL",NA,NA
"143","Netherlands","NLD",NA,NA
"144","New Caledonia","NCL",NA,NA
"145","New Zealand","NZL",NA,NA
"146","Nicaragua","NIC",NA,NA
"147","Nigeria","NGA",NA,NA
"148","Niger","NER",NA,NA
"149","Niue","NIU",NA,NA
"150","Northern Mariana Islands","MNP",NA,NA
"151","Norway","NOR",NA,NA
"152","Oman","OMN",NA,NA
"153","Pakistan","PAK",NA,NA
"154","Palau","PLW",NA,NA
"155","Panama","PAN",NA,NA
"156","Papua New Guinea","PNG",NA,NA
"157","Paraguay","PRY",NA,NA
"158","Peru","PER",NA,NA
"159","Philippines","PHL",NA,NA
"160","Poland","POL",NA,NA
"161","Portugal","PRT",NA,NA
"162","Puerto Rico","PRI",NA,NA
"163","Qatar","QAT",NA,NA
"164","Romania","ROU",NA,NA
"165","Russia","RUS",NA,NA
"166","Rwanda","RWA",NA,NA
"167","Saint Kitts and Nevis","KNA",NA,NA
"168","Saint Lucia","LCA",NA,NA
"169","Saint Martin","MAF",NA,NA
"170","Saint Pierre and Miquelon","SPM",NA,NA
"171","Saint Vincent and the Grenadines","VCT",NA,NA
"172","Samoa","WSM",NA,NA
"173","San Marino","SMR",NA,NA
"174","Sao Tome and Principe","STP",NA,NA
"175","Saudi Arabia","SAU",NA,NA
"176","Senegal","SEN",NA,NA
"177","Serbia","SRB",NA,NA
"178","Seychelles","SYC",NA,NA
"179","Sierra Leone","SLE",NA,NA
"180","Singapore","SGP",NA,NA
"181","Sint Maarten","SXM",NA,NA
"182","Slovakia","SVK",NA,NA
"183","Slovenia","SVN",NA,NA
"184","Solomon Islands","SLB",NA,NA
"185","Somalia","SOM",NA,NA
"186","South Africa","ZAF",NA,NA
"187","South Sudan","SSD",NA,NA
"188","Spain","ESP",NA,NA
"189","Sri Lanka","LKA","Sri Lanka・s presidential election was won by Gotabaya Rajapaksa, the younger brother of Mahinda Rajapaksa, a former president who oversaw the bloody end to an insurrection by Tamil separatists. Gotabaya Rajapaksa was defence secretary during the fighting. His Sinhala-Buddhist nationalist campaign pledged to wipe out terrorism, following attacks at Easter by jihadists, in which 268 people died. The elder Mr Rajapaska will be prime minister. See article.","""Sri Lanka・s"""
"190","Sudan","SDN",NA,NA
"191","Suriname","SUR",NA,NA
"192","Swaziland","SWZ",NA,NA
"193","Sweden","SWE","Prosecutors in Sweden formally ended an investigation into rape allegations made against Julian Assange, the founder of WikiLeaks, a website that publishes official secrets. Mr Assange remains in custody in London while a case for his extradition to America is considered.","""Julian Assange"""
"194","Switzerland","CHE",NA,NA
"195","Syria","SYR","Israel carried out air strikes in Syria, hitting targets belonging to the government and its Iranian allies. The attacks were in response to rockets fired at Israel by Iranian forces.","""Syria"""
"196","Taiwan","TWN",NA,NA
"197","Tajikistan","TJK",NA,NA
"198","Tanzania","TZA",NA,NA
"199","Thailand","THA",NA,NA
"200","Timor-Leste","TLS",NA,NA
"201","Togo","TGO",NA,NA
"202","Tonga","TON",NA,NA
"203","Trinidad and Tobago","TTO",NA,NA
"204","Tunisia","TUN",NA,NA
"205","Turkey","TUR",NA,NA
"206","Turkmenistan","TKM",NA,NA
"207","Tuvalu","TUV",NA,NA
"208","Uganda","UGA",NA,NA
"209","Ukraine","UKR",NA,NA
"210","United Arab Emirates","ARE",NA,NA
"211","United Kingdom","GBR","Britain・s two main party leaders clashed in the first televised election debate. The courts rejected demands from the Liberal Democrats and the Scottish National Party that they should be included. Boris Johnson, the Conservative prime minister, did slightly better than Jeremy Corbyn, the far-left leader of the Labour Party. The Conservatives・ press office altered its Twitter account to look like a fact-checking service. See article.","""Britain・s"""
"212","United States","USA","The American Congress passed the Hong Kong Freedom and Democracy bill, a largely symbolic act that will anger China and encourage the protesters. Donald Trump is expected to sign it.","""Congress"""
"213","United States","USA","Gordon Sondland, America・s ambassador to the EU and the star witness in the impeachment inquiry into Donald Trump, gave his public testimony to the House. Mr Sondland said he and others had followed orders from the president to put pressure on Ukraine to dig up dirt on Joe Biden and that the Ukrainians knew there would be a clear ：quid pro quo； if they co-operated. He also said ：everyone was in the loop；, including Mike Pompeo, the secretary of state, and Mike Pence, the vice-president. See article.","""impeachment inquiry"""
"214","United States","USA","A jury found Roger Stone guilty on all charges related to obstruction of the Mueller investigation into Russian interference in American politics. Mr Stone is a Republican operative who earned his stripes on Richard Nixon・s campaign. He once claimed to have ：launched the idea； of Mr Trump for president.","""Roger Stone"""
"215","Uruguay","URY",NA,NA
"216","Uzbekistan","UZB",NA,NA
"217","Vanuatu","VUT",NA,NA
"218","Venezuela","VEN",NA,NA
"219","Vietnam","VNM",NA,NA
"220","Virgin Islands","VGB",NA,NA
"221","West Bank","WBG",NA,NA
"222","Yemen","YEM",NA,NA
"223","Zambia","ZMB",NA,NA
"224","Zimbabwe","ZWE",NA,NA
